siteid,sitename,Gage_Statu,operator,datasource,sitestatus,stage_yn,stage_por,stage_stat,stage_real,flow_yn,flow_por,flow_statu,flow_realt,watqual_yn,watqual_po,watqual_st,watqual_re,temp_yn,temp_por,temp_statu,temp_realt,strmorder,ucdstrmcla,streamtype,totdasqkm,totdasqmi,weblink,gnisid_med,rchcd_medr,comid_medr,wtrshdnm_h,huc8,wtrshdnm_1,huc10,wtrshdnm_2,huc12,GageGap_St,Reactivate,Gage_Histo,AddFlow_2s,AddFlow_2W,AddTelemet,AddTemp_2F,Infrastruc,waterbody,Tier,Primary_Be,SB19_Actio,CNRFC,reference_,refpotenti,ecosysmgmt,wtrsupply,wtrquality,pubsafety,geometry,siteid_str
SR3,THREE MILE SLOUGH AT SAN JOAQUIN R,Active-Limited Use,DWR,CDEC,Active,Y,1785,Active,Y,N,0,,N,Y,1785,Active,Y,Y,1785,Active,Y,2,Winter storms (WS),Artificial Path,64.3626,24.85052859,http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=SR3,,18020163016589,15048263,Lower Sacramento,18020163,Sherman Lake-Sacramento River,1802016307,Threemile Slough-Sacramento River,180201630703,AWG,N,0,Y,Y,N,N,,,0,multi-benefit,High Priority - Keep Gage Active,,,,Y,Y,B,,POINT (-147616.47199999914 9521.2910999991),SR3
SRE,SHASTA R NR EDGEWOOD,Active-Limited Use,DWR,CDEC,Active,Y,6034,Active,Y,N,0,,N,N,0,,N,N,0,,N,2,Low-volume snowmelt and rain (LSR),Stream/River - Perennial,40.2975,15.55894535,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=SRE,,18010207000230,3918384,Shasta,18010207,Lake Shastina-Shasta River,1801020701,Lake Shastina-Shasta River,180102070104,AWG,N,0,Y,N,N,Y,,,2,reference,Upgrade,,,Y,,Y,,,POINT (-204020.34310000017 386598.2054999992),SRE
SSW,SACRAMENTO R ABV SACRAMENTO WEIR,Active-Limited Use,DWR,CDEC,Active,Y,1172,Active,Y,N,0,,N,N,0,,N,N,0,,N,7,High-volume snowmelt and rain (HSR),Artificial Path,53778.4002,20763.947874,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=SSW,1654949,18020161003630,15039097,Upper Coon-Upper Auburn,18020161,Curry Creek-Sacramento River,1802016104,Natomas Main Drainage Canal-Sacramento River,180201610402,AWG,N,0,Y,N,N,Y,,,0,water supply,High Priority - Add Water Temperature,,,,,B,,Y,POINT (-135554.4327000007 66923.71570000052),SSW
STF,SANTA CLARA RIVER AT FREEMAN DIVERSION,Active-Limited Use,OTHER,CDEC,Active,Y,5838,Active,Y,N,0,,N,N,0,,N,N,0,,N,6,Perennial groundwater and rain (PGR),Stream/River - Perennial,3974.4531,1534.54429082,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=STF,273545,18070102002394,17573683,Santa Clara,18070102,Lower Santa Clara River,1807010209,Adams Canyon-Santa Clara River,180701020903,AWG,N,0,Y,N,N,Y,,,0,high combined score,High Priority - Add Water Temperature,,,,,,,,POINT (82073.09589999914 -412492.9754999997),STF
SWC,S. FK WILLOW CK BLW BROWN'S CK DIV DAM,Active-Limited Use,OTHER,CDEC,Active,Y,5083,Active,Y,N,0,,N,N,0,,N,N,0,,N,3,Low-volume snowmelt and rain (LSR),Stream/River - Perennial,78.912,30.46808102,http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=SWC,267519,18040006001609,17116159,Upper San Joaquin,18040006,Willow Creek,1804000611,South Fork Willow Creek-Willow Creek,180400061103,AWG,N,0,Y,N,N,Y,,,0,water quality,High Priority - Add Water Temperature,,,,,,B,,POINT (44252.3236999996 -80314.97529999912),SWC
TEH,SACRAMENTO RIVER AT TEHAMA BRIDGE,Active-Limited Use,DWR,CDEC,Active,Y,13514,Active,Y,N,0,,N,N,0,,N,N,0,,N,7,Groundwater (GW),Artificial Path,24453.4428,9441.52317197,https://waterdata.usgs.gov/nwis/inventory/?site_no=TEH&agency_cd=USGS,1654949,18020156012152,12068958,Thomes Creek-Sacramento River,18020156,Oat Creek-Sacramento River,1802015606,Rodeo Creek-Sacramento River,180201560607,AWG,N,0,Y,N,N,Y,,,0,multi-benefit,High Priority - Add Water Temperature,Forecast,,,B,B,,F,POINT (-180810.2622999996 225652.34380000085),TEH
TLR,TULE R NR ROAD 64,Active-Limited Use,OTHER,CDEC,Active,Y,4466,Active,Y,N,0,,N,N,0,,N,N,0,,N,5,Groundwater (GW),Stream/River - Intermittent,3597.3549,1388.9459216,http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=TLR,255800,18030006002648,17155200,Upper Tule,18030006,Lower Tule River,1803000610,North Branch Tule River-Tule River,180300061002,AWG,N,0,Y,N,N,Y,,,0,high combined score,High Priority - Add Water Temperature,,,,,,,,POINT (51374.1651000008 -214318.17210000008),TLR
TPI,TOM PAINE SLOUGH ABV INTAKE STRUCTURE,Active-Limited Use,DWR,CDEC,Active,Y,6048,Active,Y,N,0,,N,Y,6048,Active,Y,Y,6048,Active,Y,0,,Canal/Ditch,36319.2516,0.0,https://sanjoaquin.onerain.com/site.php?site_id=13039&site=b096201a-fc1d-43ce-9fc9-aa2e41ef9362,,18040003004791,1894696,San Joaquin Delta,18040003,Old River,1804000306,Upper Old River,180400030601,AWG,N,0,Y,Y,N,N,,,0,water supply,High Priority - Keep Gage Active,,,,,Y,,,POINT (-124687.31850000098 -24239.10309999995),TPI
TPP,TOM PAINE SLOUGH NR PESCADERO,Active-Limited Use,DWR,CDEC,Active,Y,5746,Active,Y,N,0,,N,N,0,,N,N,0,,N,0,,Canal/Ditch,35997.6528,0.0,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=TPP,,18040003004921,1897404,San Joaquin Delta,18040003,Old River,1804000306,Upper Old River,180400030601,AWG,N,0,Y,N,N,Y,,,0,water supply,High Priority - Add Water Temperature,,,,,Y,,,POINT (-118865.11300000176 -26866.875900000334),TPP
TPS,TOM PAINE SLOUGH ABV THE MOUTH,Active-Limited Use,DWR,CDEC,Active,Y,6068,Active,Y,N,0,,N,Y,6068,Active,Y,Y,6068,Active,Y,0,,Canal/Ditch,36319.2516,0.0,https://sanjoaquin.onerain.com/site.php?site_id=13040&site=5c854698-f092-4f2d-a76a-73d26f903dfe,,18040003004758,1894696,San Joaquin Delta,18040003,Old River,1804000306,Upper Old River,180400030601,AWG,N,0,Y,Y,N,N,,,0,water supply,High Priority - Keep Gage Active,,,,,Y,,,POINT (-124753.42920000106 -24148.57909999974),TPS
TRT,TULUMNE R AT TUOLUMNE CITY,Active-High Quality,DWR,CDEC,Active,Y,612,Active,Y,Y,379,Active,Y,N,0,,N,N,0,,N,6,High-volume snowmelt and rain (HSR),Stream/River - Perennial,4807.0017,1855.99297037,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=TRT,255171,18040009036129,2819990,Upper Tuolumne,18040009,Peaslee Creek-Tuolumne River,1804000914,Town of Riverdale Park-Tuolumne River,180400091403,WG,N,0,N,N,N,Y,,,0,multi-benefit,High Priority - Add Water Temperature,,,,,G,B,,POINT (-99738.14420000091 -45343.27109999955),TRT
TSC,SF TULE R NR SUCCESS,Active-Limited Use,OTHER,CDEC,Active,Y,3998,Active,Y,N,0,,N,N,0,,N,N,0,,N,4,Low-volume snowmelt and rain (LSR),Stream/River - Perennial,285.192,110.11320158,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=TSC,249725,18030006000007,14930723,Upper Tule,18030006,South Fork Tule River,1803000603,Lower South Fork Tule River,180300060303,AWG,N,0,Y,N,N,Y,,,0,NA,None - Needs Water Temperature,,,,,,,,POINT (102797.65419999883 -218769.57859999966),TSC
TSG,TULE R NR SPRINGVILLE,Active-Limited Use,OTHER,CDEC,Active,Y,3998,Active,Y,N,0,,N,N,0,,N,N,0,,N,5,Low-volume snowmelt and rain (LSR),Stream/River - Perennial,625.7727,241.61209102,http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=TSG,,18030006000040,14930541,Upper Tule,18030006,Upper Tule River,1803000607,Lake Success-Tule River,180300060702,AWG,N,0,Y,N,N,Y,,,0,high combined score,High Priority - Add Water Temperature,,,,,,,,POINT (101753.4701000005 -212355.02850000001),TSG
TSP,NF OF MF TULE R NR SPRINGVILLE,Active-Limited Use,OTHER,CDEC,Active,Y,4476,Active,Y,N,0,,N,N,0,,N,N,0,,N,3,Low-volume snowmelt and rain (LSR),Stream/River - Perennial,103.9689,40.14260023,http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=TSP,272671,18030006000215,14930339,Upper Tule,18030006,Middle Fork Tule River,1803000601,North Fork Middle Fork Tule River,180300060102,AWG,N,0,Y,N,N,Y,,,0,NA,None - Needs Water Temperature,,,,,,,,POINT (117198.61100000143 -203808.60799999908),TSP
TUR,KLAMATH R NR KLAMATH (TURWAR CREEK),Inactive,DWR,CDEC,Inactive,Y,7505,Inactive,N,Y,7505,Inactive,N,N,0,,N,N,0,,N,7,Groundwater (GW),Artificial Path,34575.0921,13349.51221,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=TUR,266887,18010209000004,4438356,Lower Klamath,18010209,Turwar Creek-Klamath River,1801020911,McGarvey Creek-Klamath River,180102091103,exclude,Y,1,N,N,N,N,,,0,multi-benefit,None,,,,B,,B,,POINT (-334325.83970000036 395700.4935999997),TUR
UCS,UPPER CACHE SLOUGH,Active-High Quality,USGS,NWIS,Active,Y,678,Active,Y,Y,678,Active,Y,Y,678,Active,Y,Y,678,Active,Y,0,Winter storms (WS),Artificial Path,0.0,0.0,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=UCS,,18020163014623,15048171,Lower Sacramento,18020163,Cache Slough,1802016306,Toe Drain-Cache Slough,180201630606,WG,N,0,N,N,N,N,,,0,ecosystem,High Priority - Keep Gage Active,,,,B,B,B,,POINT (-149437.25630000047 30129.70910000056),UCS
ULC,ULTATIS CREEK,Active-High Quality,USGS,NWIS,Active,Y,678,Active,Y,Y,678,Active,Y,Y,678,Active,Y,Y,678,Active,Y,4,Winter storms (WS),Stream/River - Perennial,376.8516,145.50315646,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=ULC,,18020163016508,15047885,Lower Sacramento,18020163,Ulatis Creek,1802016305,Lower Ulatis Creek,180201630505,WG,N,0,N,N,N,N,,,0,NA,None,,,,,,,,POINT (-153706.74019999988 32301.112299999222),ULC
VBR,WILDCAT CREEK AT VALE,Active-Limited Use,OTHER,CDEC,Active,Y,1455,Active,Y,N,0,,N,N,0,,N,N,0,,N,2,Perennial groundwater and rain (PGR),Stream/River - Perennial,32.5521,12.56843091,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=VBR,,18050002000792,1671771,San Pablo Bay,18050002,San Pablo Creek-Frontal San Pablo Bay Estuaries,1805000207,Pinole Creek-Frontal San Pablo Bay Estuaries,180500020702,AWG,N,0,Y,N,N,Y,,,0,NA,None - Needs Water Temperature,,,,,,,,POINT (-205163.28729999997 -4485.055299999192),VBR
VCA,SANTA CLARA RIVER AT VICTORIA AVENUE,Active-Limited Use,OTHER,CDEC,Active,Y,4100,Active,Y,N,0,,N,N,0,,N,N,0,,N,6,Perennial groundwater and rain (PGR),Stream/River - Perennial,4115.151,1588.8680314,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=VCA,273545,18070102000002,17573709,Santa Clara,18070102,Lower Santa Clara River,1807010209,Harmon Canyon-Santa Clara River,180701020904,AWG,N,0,Y,N,N,Y,,,3,ecosystem,Upgrade,Forecast,,,B,,,,POINT (72241.77760000154 -419883.28110000025),VCA
VFP,VENTURA RIVER - FOSTER PARK,Active-Limited Use,USGS,NWIS,Active,Y,3256,Active,Y,N,0,,N,N,0,,N,N,0,,N,5,"Flashy, ephemeral rain (FER)",Stream/River - Perennial,488.295,188.53167609,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=VFP,250984,18070101000021,948070372,Ventura,18070101,Ventura River,1807010101,Lower Ventura River,180701010106,AWG,N,0,Y,N,N,Y,,,0,water quality,High Priority - Add Water Temperature,,,,,,B,,POINT (63462.34299999848 -407105.8816999998),VFP
VNI,SAN JOAQUIN RIVER AT VENICE ISLAND,Active-Limited Use,DWR,CDEC,Active,Y,13147,Active,Y,N,0,,N,N,0,,N,N,0,,N,1,,Artificial Path,5571.0702,2151.00134636,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=VNI,,18040003005716,1889734,San Joaquin Delta,18040003,Middle River-San Joaquin River,1804000309,Middle River-San Joaquin River,180400030906,AWG,N,0,Y,N,N,Y,,,3,multi-benefit,Upgrade,Model,,,B,B,B,Y,POINT (-131227.32770000026 4784.2857000008225),VNI
VNM,VAN MAREN,Active-Limited Use,OTHER,CDEC,Active,Y,9223,Active,Y,N,0,,N,N,0,,N,N,0,,N,2,Winter storms (WS),Stream/River - Perennial,20.6262,7.96381707,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=VNM,221830,18020111000142,15022441,Lower American,18020111,Steelhead Creek,1802011103,Arcade Creek,180201110302,AWG,N,0,Y,N,N,Y,,,0,NA,None - Needs Water Temperature,,,,,,,,POINT (-113699.96939999983 76594.70219999924),VNM
VOL,VOLANTI,Active-Limited Use,DWR,CDEC,Active,Y,8457,Active,Y,N,0,,N,Y,4690,Active,Y,Y,7526,Active,Y,1,Rain and seasonal groundwater (RGW),Stream/River - Perennial,207.6489,80.17365559,http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=VOL,237123,18050001000934,2784731,Suisun Bay,18050001,Suisun Bay,1805000104,Suisun Bay Estuaries,180500010401,AWG,N,0,Y,Y,N,N,,,0,multi-benefit,High Priority - Keep Gage Active,,,,B,,B,,POINT (-179031.90780000016 20307.02730000019),VOL
VRS,DRY CREEK AT VERNON STREET BRIDGE,Active-Limited Use,OTHER,CDEC,Active,Y,9223,Active,Y,N,0,,N,N,0,,N,N,0,,N,4,Low-volume snowmelt and rain (LSR),Stream/River - Perennial,5035.5855,1944.24963272,http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=VRS,253692,18020111000041,15022307,Lower American,18020111,Dry Creek,1802011101,Gibson Lake-Dry Creek,180201110105,AWG,N,0,Y,N,N,Y,,,3,multi-benefit,Upgrade,,,,,B,,,POINT (-112973.79690000042 80540.42280000076),VRS
W14,W14 WILLOW CK DIV TO NO. 1 CONDUIT,Active-High Quality,OTHER,CDEC,Active,Y,4018,Active,Y,Y,365,Active,N,N,0,,N,N,0,,N,1,Low-volume snowmelt and rain (LSR),Stream/River - Intermittent,5.2155,2.01371498,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=W14,,18040006001428,17116229,Upper San Joaquin,18040006,Willow Creek,1804000611,South Fork Willow Creek-Willow Creek,180400061103,WG,N,0,N,N,N,Y,YC,,0,water quality,High Priority - Add Water Temperature,,,,,,B,,POINT (44551.300200000405 -89821.53050000034),W14
W3B,WILLOW CK NR 3RD BRIDGE,Active-Limited Use,OTHER,CDEC,Active,Y,1767,Active,Y,N,0,,N,N,0,,N,Y,1767,Active,Y,2,Winter storms (WS),Stream/River - Perennial,22.2597,8.59451469,http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=W3B,237879,18010110000493,8272789,Russian,18010110,Lower Russian River,1801011009,Willow Creek-Russian River,180101100904,AWG,N,0,Y,Y,N,N,,,2,multi-benefit,Upgrade,,,,B,,B,,POINT (-267447.55900000036 50350.00889999978),W3B
WBR,MOKELUMNE RIVER AT WOODBRIDGE,Active-Limited Use,OTHER,CDEC,Active,Y,6842,Active,Y,N,0,,N,N,0,,N,N,0,,N,5,Low-volume snowmelt and rain (LSR),Stream/River - Perennial,1724.1651,665.70359344,https://waterdata.usgs.gov/nwis/inventory/?site_no=WBR&agency_cd=USGS,228902,18040012025249,948040261,Upper Mokelumne,18040012,Lower Mokelumne River,1804001211,Murphy Creek-Mokelumne River,180400121102,AWG,N,0,Y,N,N,Y,,,1,multi-benefit,Upgrade,,,,,B,,,POINT (-113955.97940000147 16664.46490000002),WBR
WCB,NO FK WILLOW CK BLW BASS LAKE,Active-Limited Use,OTHER,CDEC,Active,Y,4374,Active,Y,N,0,,N,N,0,,N,N,0,,N,3,Low-volume snowmelt and rain (LSR),Artificial Path,69.7581,26.93374193,http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=WCB,,18040006009612,17116325,Upper San Joaquin,18040006,Willow Creek,1804000611,North Fork Willow Creek,180400061101,AWG,N,0,Y,N,N,Y,,,0,flood,High Priority - Add Water Temperature,,,,,,B,B,POINT (41801.944299999624 -80274.90880000032),WCB
WCF,SOUTH FORK WILLOW CREEK NEAR FRUTO,Active-Limited Use,DWR,CDEC,Active,Y,8088,Active,Y,N,0,,N,N,0,,N,N,0,,N,4,Winter storms (WS),Stream/River - Intermittent,101.9349,39.35726876,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=WCF,,18020104002957,2843685,Sacramento-Stone Corral,18020104,South Fork Willow Creek,1802010401,Middle South Fork Willow Creek,180201040103,AWG,N,0,Y,N,N,Y,,,0,multi-benefit,High Priority - Add Water Temperature,,,,,B,,,POINT (-205228.52040000074 172114.93520000018),WCF
WCR,W-26 WILLOW CREEK AT REX RANCH,Active-Limited Use,OTHER,CDEC,Active,Y,4824,Active,Y,N,0,,N,N,0,,N,N,0,,N,4,Low-volume snowmelt and rain (LSR),Stream/River - Perennial,269.8272,104.18082157,http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=WCR,269135,18040006000291,17115637,Upper San Joaquin,18040006,Willow Creek,1804000611,South Fork Willow Creek-Willow Creek,180400061103,AWG,N,0,Y,N,N,Y,,,0,water quality,High Priority - Add Water Temperature,,,,,,B,,POINT (44952.9776000008 -91531.3975000009),WCR
WCY,WALNUT CREEK AT YGNACIO VALLEY ROAD,Active-Limited Use,OTHER,CDEC,Active,Y,4489,Active,Y,N,0,,N,N,0,,N,N,0,,N,4,Perennial groundwater and rain (PGR),Stream/River - Perennial,211.7493,81.75682823,http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=WCY,237199,18050001000011,2789339,Suisun Bay,18050001,Walnut Creek-Frontal Suisin Bay Estuaries,1805000102,Walnut Creek-Frontal Suisin Bay Estuaries,180500010204,AWG,N,0,Y,N,N,Y,,,0,NA,None - Needs Water Temperature,,,,,,,,POINT (-180561.47030000016 -10216.774800000712),WCY
WDB,WALNUT CREEK AT DIAMOND,Active-Limited Use,OTHER,CDEC,Active,Y,1205,Active,Y,N,0,,N,N,0,,N,N,0,,N,4,Perennial groundwater and rain (PGR),Stream/River - Perennial,220.1994,85.01942874,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=WDB,237199,18050001000008,2789253,Suisun Bay,18050001,Walnut Creek-Frontal Suisin Bay Estuaries,1805000102,Walnut Creek-Frontal Suisin Bay Estuaries,180500010204,AWG,N,0,Y,N,N,Y,,,0,NA,None - Needs Water Temperature,,,,,,,,POINT (-180179.2382999994 -3262.9623000007123),WDB
WFM,WEST FORK MOJAVE RIVER UPPER CLEGHORN,Active-Limited Use,DWR,CDEC,Active,Y,5511,Active,Y,N,0,,N,N,0,,N,N,0,,N,2,Low-volume snowmelt and rain (LSR),Stream/River - Intermittent,8.4753,3.27233028,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=WFM,274439,18090208002242,22658543,Mojave,18090208,West Fork Mojave River,1809020802,Silverwood Lake-West Fork Mojave River,180902080201,AWG,N,0,Y,N,N,Y,,,1,flood,High Priority - Add Water Temperature,,,,,,B,B,POINT (241945.3500000015 -411150.34810000006),WFM
WGS,SACRAMENTO R AT WALNUT GROVE STAGE,Active-Limited Use,DWR,CDEC,Active,Y,1808,Active,Y,N,0,,N,N,0,,N,N,0,,N,7,Rain and seasonal groundwater (RGW),Artificial Path,65140.2738,25150.7899947,http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=WGS,224123,18040012023499,15059791,Lower Sacramento,18020163,Sherman Lake-Sacramento River,1802016307,Beaver Lake-Sacramento River,180201630702,AWG,N,0,Y,N,N,Y,,,0,multi-benefit,High Priority - Add Water Temperature,,,,Y,Y,B,,POINT (-132617.84600000083 25855.317099999636),WGS
WLB,WILLOW BROOK NEAR STONY POINT ROAD,Active-Limited Use,OTHER,CDEC,Active,Y,8347,Active,Y,N,0,,N,N,0,,N,N,0,,N,2,Winter storms (WS),Stream/River - Intermittent,37.6407,14.5331,http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=WLB,234157,18050002000553,1669263,San Pablo Bay,18050002,Petaluma River-Frontal San Pablo Bay Estuaries,1805000206,Petaluma River,180500020601,AWG,N,0,Y,N,N,Y,,,0,NA,None - Needs Water Temperature,,,,,,,,POINT (-233883.23560000025 31977.705800000578),WLB
WMR,WALNUT CREEK AT MARSH DRIVE,Active-Limited Use,OTHER,CDEC,Active,Y,1289,Active,Y,N,0,,N,N,0,,N,N,0,,N,4,Perennial groundwater and rain (PGR),Stream/River - Perennial,320.1597,123.61430049,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=WMR,237199,18050001000006,2789229,Suisun Bay,18050001,Walnut Creek-Frontal Suisin Bay Estuaries,1805000102,Walnut Creek-Frontal Suisin Bay Estuaries,180500010204,AWG,N,0,Y,N,N,Y,,,0,high combined score,High Priority - Add Water Temperature,,,,,,,,POINT (-180316.29499999993 28.931099999696016),WMR
WRC,WHITE RIVER NEAR COHO,Active-Limited Use,OTHER,CDEC,Active,Y,6976,Active,Y,N,0,,N,N,0,,N,N,0,,N,3,Perennial groundwater and rain (PGR),Stream/River - Intermittent,129.8925,50.15175404,http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=WRC,274479,18030005000025,14934860,Upper Deer-Upper White,18030005,Upper White River,1803000502,Arrastre Creek-White River,180300050202,AWG,N,0,Y,N,N,Y,,,0,NA,None - Needs Water Temperature,,,,,,,,POINT (104699.39149999991 -243807.62849999964),WRC
WRM,DRY CK BLW WARM SPRINGS DAM,Active-Limited Use,OTHER,CDEC,Active,Y,3998,Active,Y,Y,8,Inactive,N,N,0,,N,Y,3998,Active,Y,4,Perennial groundwater and rain (PGR),Stream/River - Perennial,338.7888,130.80703326,http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=WRM,222623,18010110000296,8272083,Russian,18010110,Dry Creek,1801011005,West Slough-Dry Creek,180101100507,AWG,N,0,Y,Y,N,Y,,,1,multi-benefit,High Priority - Add Water Temperature,,,,B,,B,,POINT (-260494.49320000038 82327.42060000077),WRM
WRT,WARTHAN CREEK,Active-Limited Use,DWR,CDEC,Active,Y,10919,Active,Y,N,0,,N,N,0,,N,N,0,,N,4,"Flashy, ephemeral rain (FER)",Stream/River - Intermittent,211.7565,81.75960816,http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=WRT,255856,18030012030259,14883693,Tulare Lake Bed,18030012,Warthan Creek,1803001203,Middle Warthan Creek,180300120303,AWG,N,0,Y,N,N,Y,,,0,cnrfc,High Priority - Add Water Temperature,Model,,,,,,,POINT (-39865.75589999929 -213089.58889999986),WRT
WRV,WHITE RIVER AT ROAD 208,Active-Limited Use,OTHER,CDEC,Active,Y,7708,Active,Y,Y,1502,Inactive,N,N,0,,N,N,0,,N,3,Rain and seasonal groundwater (RGW),Stream/River - Perennial,350.6112,135.37168554,http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=WRV,,18030005005223,17165666,Upper Deer-Upper White,18030005,Lower White River,1803000505,Town of Vestal-White River,180300050503,AWG,N,0,Y,N,N,Y,,,0,high combined score,High Priority - Add Water Temperature,,,,,,,,POINT (80548.49469999969 -239391.2904000003),WRV
WWR,WEST WALKER RIVER NR COLEVILLE,Active-High Quality,USGS,NWIS,Active,Y,1613,Active,Y,Y,1613,Active,Y,N,0,,N,N,0,,N,4,Snowmelt (SM),Stream/River - Perennial,166.221,64.17826054,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=WWR,266931,16050302000080,10744456,West Walker,16050302,Upper West Walker River,1605030201,Lower Little Walker River,160503020107,WG,N,0,N,N,N,Y,,,0,ecosystem,High Priority - Add Water Temperature,,,,B,,,,POINT (47986.20219999924 40313.69349999912),WWR
YDR,SANTA MARGARITA RIVER - YSIDORA,Active-High Quality,USGS,NWIS,Active,Y,3256,Active,Y,Y,33590,Active,Y,N,0,,N,N,0,,N,6,Rain and seasonal groundwater (RGW),Stream/River - Intermittent,1885.7151,728.07837154,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=YDR,273559,18070302000774,22549121,Santa Margarita,18070302,Santa Margarita River,1807030205,O'Neill Lake-Santa Margarita River,180703020504,WG,N,0,N,N,N,Y,,,0,ecosystem,High Priority - Add Water Temperature,,,,B,,,,POINT (243396.97239999846 -527335.1468000002),YDR
YKL,YOKOHL CK - GARCIA BRIDGE,Active-Limited Use,OTHER,CDEC,Active,Y,3998,Active,Y,N,0,,N,N,0,,N,N,0,,N,3,Perennial groundwater and rain (PGR),Stream/River - Intermittent,191.1168,73.79057871,http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=YKL,274594,18030006002843,17158942,Upper Tule,18030006,Yokohl Creek,1803000604,Lower Yokohl Creek,180300060403,AWG,N,0,Y,N,N,Y,,,3,multi-benefit,Upgrade,,,,,B,,,POINT (82410.2602000013 -187446.20490000024),YKL
YUB,FEATHER RIVER AT YUBA CITY,Active-Limited Use,DWR,CDEC,Active,Y,13514,Active,Y,N,0,,N,N,0,,N,N,0,,N,6,High-volume snowmelt and rain (HSR),Artificial Path,10229.9337,3949.79786144,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=YUB,223423,18020159004642,7972591,Honcut Headwaters-Lower Feather,18020159,Lower Feather River,1802015905,Ellis Lake-Feather River,180201590502,AWG,N,0,Y,N,N,Y,,,0,multi-benefit,High Priority - Add Water Temperature,Forecast,,,B,B,,Y,POINT (-138690.35160000063 125936.69339999929),YUB
09429490,"COLORADO RIVER ABOVE IMPERIAL DAM, AZ-CA",Active-Limited Use,USGS,NWIS,Active,Y,2,Inactive,N,Y,16125,Active,N,Y,9118,Active,Y,Y,5700,Active,Y,9,,Stream/River - Intermittent,441820.2924,170587.698536,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=09429490,45730,15030104003353,10005030,Imperial Reservoir,15030104,Martinez Lake-Colorado River,1503010413,Imperial Reservoir-Colorado River,150301041311,AWG,N,0,N,N,Y,N,,,1,water quality,Upgrade,,,,,,B,,POINT (518102.0199000016 -554719.9009999996),09429490
103087865,UNNAMED TRIB 2 TO LEVIATHAN C AT LEVIATHAN MINE CA,Active-High Quality,USGS,NWIS,Active,Y,3854,Active,Y,Y,3853,Active,Y,N,0,,N,N,0,,N,2,,Stream/River - Perennial,14.4684,5.58627818,http://waterdata.usgs.gov/ca/nwis/inventory/?site_no=103087865,262423,16050201000193,8922761,Upper Carson,16050201,Middle East Fork Carson River,1605020102,Leviathan Canyon,160502010201,WG,N,0,N,N,N,Y,,,0,NA,None - Needs Water Temperature,,,,,,,,POINT (29352.69299999997 76678.94449999928),103087865
103087889,4L C NR MARKLEEVILLE CA,Active-High Quality,USGS,NWIS,Active,Y,4714,Active,Y,Y,6175,Active,Y,N,0,,N,N,0,,N,3,,Stream/River - Perennial,19.0359,7.34979906,https://waterdata.usgs.gov/ca/nwis/inventory/?site_no=103087889,262423,16050201000192,8922717,Upper Carson,16050201,Middle East Fork Carson River,1605020102,Leviathan Canyon,160502010201,WG,N,0,N,N,N,Y,,,0,NA,None - Needs Water Temperature,,,,,,,,POINT (29236.16589999944 77214.34180000052),103087889
